ID_PROJETO	NUM_PROCESSO	TITULO	CLASSIFICACAO	AVALIACAO	DT_REGISTRO	DT_INICIAL	DT_CONCLUSAO	VL_PREVISTO	DT_ULTIMA_AVAL	SITUACAO	RESPONSAVEL	NOME	DEPTO	NOME_DEPTO	PALAVRAS_CHAVES	FUNDACAO_APOIO	SUPERVISOR_FINANCEIRO	EVENTO	TIPO_PUBLICO_ALVO	PUBLICO_ALVO	PUBLICO_ENVOLVIDO	CENTRO	PAGA_BOLSA										
																																	
9208	8630	ASSISTENCIA DE ENFERMAGEM A PACIENTES COM GRAU DE CUIDADOS DE ALTA COMPLEXIDADE E ATENDIMENTO DE URGENCIA E EMERGENCIA.	Extens„o	Avaliado fora do prazo	23/11/1999	01/01/2000	31/03/2000	0	11/11/2004	ConcluÌdo/Publicado	1100769 - ADELINA GIACOMELLI PROCHNOW	ADELINA GIACOMELLI PROCHNOW	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
23239	20203	Centro de Eventos: EducaÁ„o	 Tecnologia	 Cultura	 InovaÁ„o e AgronegÛcio	Extens„o	N„o avaliado no ano corrente	18/04/2007	01/04/2007	01/04/2008	145450		Em andamento	378579 - AILO VALMIR SACCOL	AILO VALMIR SACCOL	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	30000	7	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa				
17774	15326	N⁄CLEO DA UFSM EM APOIO ¿ REDE DE SOLIDARIEDADE	Extens„o	Avaliado fora do prazo	15/01/2004	01/03/2003	31/12/2004	14119	27/04/2006	ConcluÌdo/Publicado	378579 - AILO VALMIR SACCOL	AILO VALMIR SACCOL	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	3000		01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
7459	6931	Projeto de desenvolvimento do Sistema de Informacoes gerenciais	Extens„o	Avaliado fora do prazo	29/07/1998	01/07/1998	31/12/2003	450000	11/11/2004	ConcluÌdo/Publicado	381847 - ALDIOCIR FRANCISCO DALLA VECCHIA	ALDIOCIR FRANCISCO DALLA VECCHIA	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
10597	9966	JORNADA REGIONAL DE EDUCA«√O E MOSTRA EM EDUCA«√O BASICA.	Extens„o	Avaliado	23/08/1999	26/10/2000	28/10/2000	0		ConcluÌdo/Publicado	7382514 - AMARILDO LUIZ TREVISAN	AMARILDO LUIZ TREVISAN	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
22784	19836	QUILOMBO ARNESTO PENNA CARNEIRO: relatÛrio tÈcnico	Extens„o	Avaliado	12/12/2006	01/08/2006	31/12/2008	28700	13/10/2009	ConcluÌdo/Publicado	379053 - ANA LUCIA AGUIAR MELO	ANA LUCIA AGUIAR MELO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	320	80	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15555	9932	"VIABILIZACAO DO ""SEMINARIO INTERNACIONAL: TERRITORIO"	" PATRIMONIO CULTURAL E MEMORIA"" E ""I ENCONTRO DOS ICOMOS""."	Extens„o	Avaliado	21/08/1999	08/09/2000	10/09/2000	0		ConcluÌdo/Publicado	2100793 - ANDREY ROSENTHAL SCHLEE	ANDREY ROSENTHAL SCHLEE	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa						
15722	11687	Diagnostico para a Implementacao de um Projeto de Valorizacao da Memoria eIdentidade Cultural de Sao Pedro do Sul - RS	Extens„o	Avaliado	02/10/1999	01/03/2001	31/03/2002	18500	03/12/2004	ConcluÌdo/Publicado	1191168 - ATILA AUGUSTO STOCK DA ROSA	ATILA AUGUSTO STOCK DA ROSA	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15426	8671	EXPANSAO DO SERVICO DE PATOLOGIA DO HUSM	Extens„o	Avaliado fora do prazo	29/11/1999	25/11/1999	24/11/2000	0	11/11/2004	ConcluÌdo/Publicado	380095 - CARLOS RENATO ALMEIDA MELO	CARLOS RENATO ALMEIDA MELO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
